track_center_x,track_center_y,track_width_right,track_width_left
8.412535328311811611e+01,-2.703204087277987355e+01,5.000000000000000000e+00,5.000000000000000000e+00
8.738493770697847651e+01,-2.430983680502343702e+01,5.000000000000000000e+00,5.000000000000000000e+00
9.029265382866209677e+01,-2.148974560445859439e+01,5.000000000000000000e+00,5.000000000000000000e+00
9.283679330160727261e+01,-1.858312278301636411e+01,5.000000000000000000e+00,5.000000000000000000e+00
9.500711177409453967e+01,-1.560167228492435321e+01,5.000000000000000000e+00,5.000000000000000000e+00
9.679487013963564834e+01,-1.255739935905396898e+01,5.000000000000000000e+00,5.000000000000000000e+00
9.819286972627068621e+01,-9.462562218020488913e+00,5.000000000000000000e+00,5.000000000000000000e+00
9.919548128307951629e+01,-6.329622678687453430e+00,5.000000000000000000e+00,5.000000000000000000e+00
9.979866764718843797e+01,-3.171195982828225901e+00,5.000000000000000000e+00,5.000000000000000000e+00
1.000000000000000000e+02,-1.224646799147353217e-14,5.000000000000000000e+00,5.000000000000000000e+00
